#TYPE Microsoft.Management.Infrastructure.CimInstance#ROOT/StandardCimv2/MSFT_NetTCPConnection
"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Bound",,"InHost",,,,"0.0.0.0++58014++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:18:12 PM","0.0.0.0","58014","23196","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++57921++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:16:56 PM","0.0.0.0","57921","23196","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++57920++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:16:56 PM","0.0.0.0","57920","23196","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++54472++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/8/2023 11:40:57 PM","0.0.0.0","54472","12328","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++54470++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/8/2023 11:40:57 PM","0.0.0.0","54470","21748","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49458++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:58:52 PM","0.0.0.0","49458","5124","0.0.0.0","0",
"Listen",,"InHost",,,,"127.0.0.1++61365++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:48 PM","127.0.0.1","61365","15236","0.0.0.0","0",
"Established","Internet","InHost",,,,"127.0.0.1++61348++127.0.0.1++61347",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:47 PM","127.0.0.1","61348","15236","127.0.0.1","61347",
"Established","Internet","InHost",,,,"127.0.0.1++61347++127.0.0.1++61348",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:47 PM","127.0.0.1","61347","15236","127.0.0.1","61348",
"Established","Internet","InHost",,,,"127.0.0.1++61346++127.0.0.1++61345",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:47 PM","127.0.0.1","61346","15236","127.0.0.1","61345",
"Established","Internet","InHost",,,,"127.0.0.1++61345++127.0.0.1++61346",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:47 PM","127.0.0.1","61345","15236","127.0.0.1","61346",
"Established","Internet","InHost",,,,"127.0.0.1++61296++127.0.0.1++61295",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:44 PM","127.0.0.1","61296","15236","127.0.0.1","61295",
"Established","Internet","InHost",,,,"127.0.0.1++61295++127.0.0.1++61296",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:09:44 PM","127.0.0.1","61295","15236","127.0.0.1","61296",
"Listen",,"InHost",,,,"0.0.0.0++61229++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:37 PM","0.0.0.0","61229","784","0.0.0.0","0",
"Established","Internet","InHost",,,,"184.171.148.163++60520++20.50.201.200++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:19:09 PM","184.171.148.163","60520","18660","20.50.201.200","443",
"Established","Internet","InHost",,,,"184.171.148.163++60519++142.250.65.173++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:19:07 PM","184.171.148.163","60519","21748","142.250.65.173","443",
"Established","Internet","InHost",,,,"184.171.148.163++60518++34.149.100.209++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:19:00 PM","184.171.148.163","60518","21748","34.149.100.209","443",
"TimeWait",,"InHost",,,,"184.171.148.163++60517++20.189.173.10++443",,,,,,,,,,,,"2",,,"5",,"12",,,"12/31/1600 7:00:00 PM","184.171.148.163","60517","0","20.189.173.10","443",
"Established","Internet","InHost",,,,"184.171.148.163++60515++34.117.237.239++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:18:14 PM","184.171.148.163","60515","21748","34.117.237.239","443",
"TimeWait",,"InHost",,,,"184.171.148.163++60511++20.44.10.122++443",,,,,,,,,,,,"2",,,"5",,"12",,,"12/31/1600 7:00:00 PM","184.171.148.163","60511","0","20.44.10.122","443",
"Established","Internet","InHost",,,,"184.171.148.163++60509++142.251.35.174++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:16:39 PM","184.171.148.163","60509","21748","142.251.35.174","443",
"Established","Internet","InHost",,,,"184.171.148.163++60488++142.251.40.227++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:12:43 PM","184.171.148.163","60488","21748","142.251.40.227","443",
"Established","Internet","InHost",,,,"184.171.148.163++60482++142.251.40.227++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:12:36 PM","184.171.148.163","60482","21748","142.251.40.227","443",
"Established","Internet","InHost",,,,"184.171.148.163++60464++140.82.112.25++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:10:49 PM","184.171.148.163","60464","21748","140.82.112.25","443",
"Established","Internet","InHost",,,,"184.171.148.163++60392++34.236.132.239++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:02:39 PM","184.171.148.163","60392","21748","34.236.132.239","443",
"Established","Internet","InHost",,,,"184.171.148.163++60376++142.250.80.78++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 2:01:33 PM","184.171.148.163","60376","21748","142.250.80.78","443",
"Established","Internet","InHost",,,,"184.171.148.163++60364++142.251.35.170++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:59:03 PM","184.171.148.163","60364","21748","142.251.35.170","443",
"Established","Internet","InHost",,,,"184.171.148.163++60359++34.117.65.55++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:58:59 PM","184.171.148.163","60359","21748","34.117.65.55","443",
"Established","Internet","InHost",,,,"184.171.148.163++60262++20.25.241.18++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:57:45 PM","184.171.148.163","60262","18400","20.25.241.18","443",
"CloseWait","Internet","InHost",,,,"184.171.148.163++60230++23.33.46.189++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:52 PM","184.171.148.163","60230","20444","23.33.46.189","443",
"CloseWait","Internet","InHost",,,,"184.171.148.163++60225++23.33.40.154++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","184.171.148.163","60225","20444","23.33.40.154","443",
"CloseWait","Internet","InHost",,,,"184.171.148.163++60224++23.33.40.154++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","184.171.148.163","60224","20444","23.33.40.154","443",
"CloseWait","Internet","InHost",,,,"184.171.148.163++60223++23.33.40.154++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","184.171.148.163","60223","20444","23.33.40.154","443",
"CloseWait","Internet","InHost",,,,"184.171.148.163++60222++23.33.40.154++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","184.171.148.163","60222","20444","23.33.40.154","443",
"CloseWait","Internet","InHost",,,,"184.171.148.163++60221++23.33.40.154++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","184.171.148.163","60221","20444","23.33.40.154","443",
"CloseWait","Internet","InHost",,,,"184.171.148.163++60220++23.33.40.154++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","184.171.148.163","60220","20444","23.33.40.154","443",
"CloseWait","Internet","InHost",,,,"184.171.148.163++60219++23.33.40.153++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:56:45 PM","184.171.148.163","60219","20444","23.33.40.153","443",
"Established","Internet","InHost",,,,"184.171.148.163++59755++20.49.99.116++8883",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:02:28 PM","184.171.148.163","59755","1372","20.49.99.116","8883",
"Established","Internet","InHost",,,,"184.171.148.163++59612++34.111.115.192++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:59:03 PM","184.171.148.163","59612","4292","34.111.115.192","443",
"Established","Internet","InHost",,,,"184.171.148.163++59525++162.159.61.4++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:58:29 PM","184.171.148.163","59525","21748","162.159.61.4","443",
"Established","Internet","InHost",,,,"184.171.148.163++59482++162.159.136.234++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:58:22 PM","184.171.148.163","59482","4292","162.159.136.234","443",
"Established","Internet","InHost",,,,"184.171.148.163++59463++162.254.192.71++27033",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:58:20 PM","184.171.148.163","59463","20672","162.254.192.71","27033",
"Established","Internet","InHost",,,,"127.0.0.1++58715++127.0.0.1++57921",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:16:56 PM","127.0.0.1","58715","20672","127.0.0.1","57921",
"Listen",,"InHost",,,,"127.0.0.1++58715++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:16:54 PM","127.0.0.1","58715","20672","0.0.0.0","0",
"Established","Internet","InHost",,,,"127.0.0.1++58014++127.0.0.1++27060",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:18:12 PM","127.0.0.1","58014","23196","127.0.0.1","27060",
"Established","Internet","InHost",,,,"127.0.0.1++57921++127.0.0.1++58715",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:16:56 PM","127.0.0.1","57921","23196","127.0.0.1","58715",
"Established","Internet","InHost",,,,"127.0.0.1++57920++127.0.0.1++57918",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:16:56 PM","127.0.0.1","57920","23196","127.0.0.1","57918",
"Established","Internet","InHost",,,,"127.0.0.1++57918++127.0.0.1++57920",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:16:56 PM","127.0.0.1","57918","20672","127.0.0.1","57920",
"Listen",,"InHost",,,,"127.0.0.1++57918++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:16:54 PM","127.0.0.1","57918","20672","0.0.0.0","0",
"Established","Internet","InHost",,,,"127.0.0.1++54472++127.0.0.1++54471",,,,,,,,,,,,"2",,,"5",,"12",,,"11/8/2023 11:40:57 PM","127.0.0.1","54472","12328","127.0.0.1","54471",
"Established","Internet","InHost",,,,"127.0.0.1++54471++127.0.0.1++54472",,,,,,,,,,,,"2",,,"5",,"12",,,"11/8/2023 11:40:57 PM","127.0.0.1","54471","12328","127.0.0.1","54472",
"Established","Internet","InHost",,,,"127.0.0.1++54470++127.0.0.1++54469",,,,,,,,,,,,"2",,,"5",,"12",,,"11/8/2023 11:40:57 PM","127.0.0.1","54470","21748","127.0.0.1","54469",
"Established","Internet","InHost",,,,"127.0.0.1++54469++127.0.0.1++54470",,,,,,,,,,,,"2",,,"5",,"12",,,"11/8/2023 11:40:57 PM","127.0.0.1","54469","21748","127.0.0.1","54470",
"Listen",,"InHost",,,,"0.0.0.0++49668++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:27 PM","0.0.0.0","49668","4152","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","0.0.0.0","49667","2492","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49666++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","0.0.0.0","49666","904","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","0.0.0.0","49665","980","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49664++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","0.0.0.0","49664","884","0.0.0.0","0",
"Established","Internet","InHost",,,,"184.171.148.163++49458++20.25.241.18++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:58:52 PM","184.171.148.163","49458","5124","20.25.241.18","443",
"Listen",,"InHost",,,,"127.0.0.1++27060++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:16:54 PM","127.0.0.1","27060","20672","0.0.0.0","0",
"Established","Internet","InHost",,,,"127.0.0.1++27060++127.0.0.1++58014",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:18:12 PM","127.0.0.1","27060","20672","127.0.0.1","58014",
"Listen",,"InHost",,,,"0.0.0.0++27036++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 9:17:06 PM","0.0.0.0","27036","20672","0.0.0.0","0",
"Listen",,"InHost",,,,"127.0.0.1++8884++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:11:14 PM","127.0.0.1","8884","4","0.0.0.0","0",
"Listen",,"InHost",,,,"127.0.0.1++6463++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/8/2023 6:38:55 PM","127.0.0.1","6463","10404","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++5040++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:57:44 PM","0.0.0.0","5040","9584","0.0.0.0","0",
"Listen",,"InHost",,,,"192.168.56.1++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:57:47 PM","192.168.56.1","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"184.171.148.163++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 12:58:20 PM","184.171.148.163","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++135++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/7/2023 2:08:26 PM","0.0.0.0","135","1348","0.0.0.0","0",
